period,ratio,category
2025-08-20,45.99131,비타민D
2025-08-21,44.33632,비타민D
2025-08-22,42.1282,비타민D
2025-08-23,40.94429,비타민D
2025-08-24,44.15018,비타민D
2025-08-25,45.09942,비타민D
2025-08-26,44.34514,비타민D
2025-08-27,44.56216,비타민D
2025-08-28,42.56841,비타민D
2025-08-29,39.2893,비타민D
2025-08-30,38.44857,비타민D
2025-08-31,42.1723,비타민D
2025-09-01,44.00903,비타민D
2025-09-02,44.29927,비타민D
2025-09-03,42.79249,비타민D
2025-09-04,42.86041,비타민D
2025-09-05,39.47103,비타민D
2025-09-06,37.87338,비타민D
2025-09-07,43.57499,비타민D
2025-09-08,43.26358,비타민D
2025-09-09,42.96098,비타민D
2025-09-10,39.55925,비타민D
2025-09-11,37.46757,비타민D
2025-09-12,35.58939,비타민D
2025-09-13,34.9498,비타민D
2025-09-14,39.36958,비타민D
2025-09-15,40.36646,비타민D
2025-09-16,40.43262,비타민D
2025-09-17,41.13044,비타민D
2025-09-18,36.9709,비타민D
2025-09-19,35.19505,비타민D
2025-09-20,33.3248,비타민D
2025-09-21,35.93256,비타민D
2025-09-22,35.94403,비타민D
2025-09-23,35.74024,비타민D
2025-09-24,35.31767,비타민D
2025-09-25,34.09319,비타민D
2025-09-26,30.83261,비타민D
2025-09-27,30.05981,비타민D
2025-09-28,34.50694,비타민D
2025-09-29,32.92781,비타민D
2025-09-30,31.94682,비타민D
2025-10-01,31.15814,비타민D
2025-10-02,27.36648,비타민D
2025-10-03,27.89755,비타민D
2025-10-04,27.43176,비타민D
2025-10-05,27.89844,비타민D
2025-10-06,29.66811,비타민D
2025-10-07,32.18324,비타민D
2025-10-08,33.16865,비타민D
2025-10-09,36.87474,비타민D
2025-10-10,36.13282,비타민D
2025-10-11,34.3552,비타민D
2025-10-12,37.90161,비타민D
2025-10-13,39.91919,비타민D
2025-10-14,37.64578,비타민D
2025-10-15,34.34285,비타민D
2025-10-16,31.9821,비타민D
2025-10-17,29.65312,비타민D
2025-10-18,29.12998,비타민D
2025-10-19,30.99228,비타민D
2025-10-20,31.16784,비타민D
2025-10-21,31.09374,비타민D
2025-10-22,29.71575,비타민D
2025-10-23,28.7771,비타민D
2025-10-24,26.6519,비타민D
2025-10-25,25.00044,비타민D
2025-10-26,29.77398,비타민D
2025-10-27,29.97159,비타민D
2025-10-28,29.36905,비타민D
2025-10-29,27.64437,비타민D
2025-10-30,25.96026,비타민D
2025-10-31,23.92504,비타민D
2025-11-01,23.30133,비타민D
2025-11-02,27.06124,비타민D
2025-11-03,28.16045,비타민D
2025-11-04,27.54644,비타민D
2025-11-05,27.74141,비타민D
2025-11-06,27.70612,비타민D
2025-11-07,25.50505,비타민D
2025-11-08,23.91975,비타민D
2025-11-09,27.38147,비타민D
2025-11-10,28.68359,비타민D
2025-11-11,28.05547,비타민D
2025-11-12,28.014,비타민D
2025-11-13,26.2258,비타민D
